shape,noise,init,model,attack,norm,eps,n,clean_rel_l2_mean,clean_rel_l2_median,clean_mse_mean,clean_mse_median,adv_rel_l2_mean,adv_rel_l2_median,adv_mse_mean,adv_mse_median
ellipses,0.01,fbp,nsn,adam,l2,0.005,32,0.4527448872104287,0.47681303322315216,0.00625221734162551,0.004796583671122789,0.4705676771700382,0.4921624958515167,0.00705165336785285,0.0049158891197294
ellipses,0.01,fbp,nsn,adam,l2,0.01,32,0.4527448872104287,0.47681303322315216,0.00625221734162551,0.004796583671122789,0.5966846495866776,0.5887278318405151,0.01279732327657257,0.007622664328664541
ellipses,0.01,fbp,nsn,adam,l2,0.02,32,0.4527448872104287,0.47681303322315216,0.00625221734162551,0.004796583671122789,1.0275520868599415,1.0222177505493164,0.0375300925297779,0.020266840234398842
ellipses,0.01,fbp,nsn,adam,l2,0.05,32,0.4527448872104287,0.47681303322315216,0.00625221734162551,0.004796583671122789,2.399263996630907,2.3174314498901367,0.19591031083837152,0.12602626159787178
ellipses,0.01,fbp,nsn,adam,l2,0.1,32,0.4527448872104287,0.47681303322315216,0.00625221734162551,0.004796583671122789,4.5279688984155655,4.373584032058716,0.6491536570829339,0.43952426314353943
ellipses,0.01,fbp,nsn,adam,l2,0.2,32,0.4527448872104287,0.47681303322315216,0.00625221734162551,0.004796583671122789,8.299586325883865,8.399491310119629,1.7993293202016503,1.7144582271575928
ellipses,0.01,fbp,resnet,adam,l2,0.005,32,0.017971089255297557,0.016334320418536663,8.422457089096724e-06,5.841542133566691e-06,0.11870178673416376,0.1149391196668148,0.0007975345320971883,0.0002447713050059974
ellipses,0.01,fbp,resnet,adam,l2,0.01,32,0.017971089255297557,0.016334320418536663,8.422457089096724e-06,5.841542133566691e-06,0.33597250166349113,0.28156836330890656,0.006312416580840363,0.0012728250003419816
ellipses,0.01,fbp,resnet,adam,l2,0.02,32,0.017971089255297557,0.016334320418536663,8.422457089096724e-06,5.841542133566691e-06,1.0035808216780424,0.9061402678489685,0.035334691587195266,0.0166085222736001
ellipses,0.01,fbp,resnet,adam,l2,0.05,32,0.017971089255297557,0.016334320418536663,8.422457089096724e-06,5.841542133566691e-06,2.812613919377327,2.7072449922561646,0.2571148896822706,0.1596720665693283
ellipses,0.01,fbp,resnet,adam,l2,0.1,32,0.017971089255297557,0.016334320418536663,8.422457089096724e-06,5.841542133566691e-06,5.641436472535133,5.7002668380737305,0.9803054158110172,0.6696101725101471
ellipses,0.01,fbp,resnet,adam,l2,0.2,32,0.017971089255297557,0.016334320418536663,8.422457089096724e-06,5.841542133566691e-06,10.708608984947205,10.81739854812622,2.9147798344492912,2.7931119203567505
ellipses,0.01,lw,nsn,adam,l2,0.005,32,0.4487072783522308,0.47253550589084625,0.00614151487025083,0.00471172365359962,0.46314152237027884,0.4814039617776871,0.006713088104788767,0.004893944598734379
ellipses,0.01,lw,nsn,adam,l2,0.01,32,0.4487072783522308,0.47253550589084625,0.00614151487025083,0.00471172365359962,0.5672325864434242,0.5562940239906311,0.011265567252394248,0.006662256550043821
ellipses,0.01,lw,nsn,adam,l2,0.02,32,0.4487072783522308,0.47253550589084625,0.00614151487025083,0.00471172365359962,1.0017674341797829,0.9773322641849518,0.03429387559663155,0.017304016277194023
ellipses,0.01,lw,nsn,adam,l2,0.05,32,0.4487072783522308,0.47253550589084625,0.00614151487025083,0.00471172365359962,2.3162407353520393,2.314052104949951,0.1619512466713786,0.11740187183022499
ellipses,0.01,lw,nsn,adam,l2,0.1,32,0.4487072783522308,0.47253550589084625,0.00614151487025083,0.00471172365359962,4.262001618742943,4.2840681076049805,0.5139660658314824,0.4173467755317688
ellipses,0.01,lw,nsn,adam,l2,0.2,32,0.4487072783522308,0.47253550589084625,0.00614151487025083,0.00471172365359962,7.740522645413876,7.885243892669678,1.4331175195984542,1.4694942831993103
ellipses,0.01,lw,resnet,adam,l2,0.005,32,0.019411705958191305,0.018151484429836273,9.142003378315167e-06,6.865635896247113e-06,0.1465505490778014,0.1266525387763977,0.0013719277931159013,0.0002661307080416009
ellipses,0.01,lw,resnet,adam,l2,0.01,32,0.019411705958191305,0.018151484429836273,9.142003378315167e-06,6.865635896247113e-06,0.40834459476172924,0.38597771525382996,0.0065846409721643795,0.0030167236691340804
ellipses,0.01,lw,resnet,adam,l2,0.02,32,0.019411705958191305,0.018151484429836273,9.142003378315167e-06,6.865635896247113e-06,1.0295652719214559,0.9752254784107208,0.03875972556124907,0.01990459579974413
ellipses,0.01,lw,resnet,adam,l2,0.05,32,0.019411705958191305,0.018151484429836273,9.142003378315167e-06,6.865635896247113e-06,2.806165188550949,2.779881715774536,0.2483935944037512,0.18510129302740097
ellipses,0.01,lw,resnet,adam,l2,0.1,32,0.019411705958191305,0.018151484429836273,9.142003378315167e-06,6.865635896247113e-06,5.51155960559845,5.373849630355835,0.8925305258017033,0.6495496332645416
ellipses,0.01,lw,resnet,adam,l2,0.2,32,0.019411705958191305,0.018151484429836273,9.142003378315167e-06,6.865635896247113e-06,10.23561455309391,10.214056968688965,2.677236879710108,2.5798779726028442
ellipses,0.01,pinv,nsn,adam,l2,0.005,32,0.23229862423613667,0.2268487513065338,0.001924151118601003,0.0011581165599636734,0.6321209808811545,0.6155950129032135,0.014383693469426362,0.008533932734280825
ellipses,0.01,pinv,nsn,adam,l2,0.01,32,0.23229862423613667,0.2268487513065338,0.001924151118601003,0.0011581165599636734,1.107667863368988,1.074178695678711,0.044760133685485926,0.025726601481437683
